,decyear,east(m),north(m),up(m)
359,2021.0267,0.709675,0.954869,0.154382
360,2021.0294,0.710275,0.953284,0.152532
361,2021.0322,0.709116,0.953158,0.153166
362,2021.0349,0.708532,0.954174,0.154731
363,2021.0376,0.710231,0.955608,0.149793
364,2021.0404,0.711758,0.954597,0.153361
365,2021.0431,0.709055,0.956839,0.155989
366,2021.0459,0.709098,0.954127,0.153261
367,2021.0486,0.710472,0.954396,0.154357
368,2021.0513,0.711544,0.953071,0.152963
369,2021.0541,0.712989,0.955055,0.149505
370,2021.0568,0.711347,0.953389,0.154819
371,2021.0595,0.71359,0.953896,0.157386
372,2021.0623,0.713599,0.95315,0.15243
373,2021.065,0.713145,0.953696,0.151712
374,2021.0678,0.712069,0.952853,0.155835
375,2021.0705,0.712827,0.954717,0.1564
376,2021.0732,0.7129,0.954491,0.153985
377,2021.076,0.712198,0.952725,0.152061
378,2021.0787,0.710436,0.95467,0.152373
379,2021.0815,0.711259,0.955453,0.150815
380,2021.0842,0.711556,0.956681,0.145625
381,2021.0869,0.709592,0.955564,0.149586
382,2021.0897,0.711117,0.956327,0.150152
383,2021.0924,0.711091,0.955368,0.147631
384,2021.0979,0.709057,0.955562,0.146915
385,2021.1006,0.709592,0.95602,0.149526
386,2021.1034,0.709727,0.95627,0.150476
387,2021.1061,0.709799,0.954991,0.151152
388,2021.1088,0.710158,0.956415,0.155981
389,2021.1116,0.709997,0.957011,0.149823
390,2021.1143,0.709609,0.956583,0.149053
391,2021.117,0.70851,0.956709,0.151857
392,2021.1198,0.710045,0.955655,0.159325
393,2021.1225,0.708223,0.957167,0.154972
394,2021.1253,0.708421,0.95638,0.152861
395,2021.128,0.707964,0.956973,0.152181
396,2021.1307,0.708586,0.95673,0.152798
397,2021.1335,0.708717,0.956947,0.147238
398,2021.1362,0.710089,0.956794,0.152263
399,2021.1389,0.709496,0.956352,0.150216
400,2021.1417,0.708547,0.955591,0.147972
401,2021.1444,0.707569,0.955946,0.146323
